user,text,favorite_count,retweet_count,created_at
CharukaTawanda,@nokuthuulaa Ndiribho 😊,1,0,2023-01-16 06:38:35+00:00
CharukaTawanda,"@nokuthuulaa Long time nokuthula,, urisei",1,0,2023-01-15 18:20:49+00:00
CharukaTawanda,@nokuthuulaa https://t.co/fGcoJtqJX7,1,0,2023-01-13 19:51:12+00:00
CharukaTawanda,@BorderJumper30 Prophet munhuwo guys,1,0,2023-01-12 05:31:14+00:00
CharukaTawanda,@FaffieManhuhwa Paya akaimba ngoma,3,0,2023-01-09 16:04:06+00:00
CharukaTawanda,@Tanaka_yasin05 Ghost was good and tommy  a bit extra,1,0,2022-12-31 20:13:58+00:00
CharukaTawanda,@HarmonyShox @blackheart_dave @HarmonyShox hauzvipamhi izvi,0,0,2022-12-31 08:42:48+00:00
CharukaTawanda,@MurambwiZW @blackheart_dave @HarmonyShox 😂@harmonShox vari in love,0,0,2022-12-30 11:43:53+00:00
CharukaTawanda,@MurambwiZW @blackheart_dave 😂😂 ring ine refund here tinodzosera,0,0,2022-12-30 08:28:48+00:00
CharukaTawanda,@Kamoradebe_ Add me as your road trip buddy 👌,0,0,2022-12-29 19:52:25+00:00
CharukaTawanda,@TheBlckEngineer @talent_madungwe Madiiko black software engineer 😂😂,0,0,2022-12-28 18:49:47+00:00
CharukaTawanda,@LeoTeeMG @SaveVidBot,1,0,2022-12-27 06:23:22+00:00
CharukaTawanda,@MattMatura Were is the thread,0,0,2022-12-20 16:05:42+00:00
CharukaTawanda,@advocatemahere @PoliceZimbabwe @ZANUPF_Official @nelsonchamisa Sorry to ask but are they talking about actual death or political death 🤔,1,0,2022-12-19 15:47:01+00:00
CharukaTawanda,"@nokuthuulaa Making us wait this long, they better bring Ghost back otherwise danger",1,0,2022-12-16 09:42:35+00:00
CharukaTawanda,@MurambwiZW @Veewedecor 😂😂 Masvingo takaenda,0,0,2022-12-16 09:41:48+00:00
CharukaTawanda,"@MurambwiZW @Veewedecor 🤣🤣 Nanhasi pakugocha anoda ""pork""",0,0,2022-12-16 06:28:44+00:00
CharukaTawanda,@nokuthuulaa March is too far 😳,1,0,2022-12-15 19:01:32+00:00
CharukaTawanda,@MurambwiZW @pallnandi 😂😂 Munhu paden,0,0,2022-12-15 06:20:14+00:00
CharukaTawanda,The problem is you want to find love in Cape Town,2,0,2022-12-10 17:19:35+00:00
CharukaTawanda,@MattMatura 😂😂,2,0,2022-12-08 19:37:33+00:00
